category,slug,title,year,journal,doi,citations,openalex,closest_bib_title,closest_score
journal article,differences-among-ant-species-in-plant-protection-are-related-to-production-of-e,Differences among ant species in plant protection are related to production of extrafloral nectar and degree of leaf herbivory,2017,Biological Journal of the Linnean Society,10.1093/biolinnean/blx059,116,W2625191500,,
journal article,individual-variation-in-the-booming-calls-of-captive-horned-guans-oreophasis-der,Individual variation in the booming calls of captive Horned Guans (Oreophasis derbianus): an endangered Neotropical mountain bird,2016,Bioacoustics,10.1080/09524622.2016.1233513,5,W2521142089,,
journal article,biotic-interactions-as-natures-ornaments-a-view-from-the-tropics,Biotic Interactions as Nature's Ornaments: A View from the Tropics,2014,BioScience,10.1093/biosci/biu081,1,W2118433593,,
journal article,impact-of-the-introduced-honeybees-apis-mellifera-apidae-on-teide-national-park-,"Impact of the introduced honeybees (Apis mellifera, Apidae) on Teide National Park (Tenerife, Canary Islands)",2014,Ecosistemas,10.7818/ecos.2014.23-3.08,19,W1522130053,,
journal article,6-status-of-the-northern-bald-ibis-in-southern-spain,6. Status of the Northern Bald Ibis in southern Spain,2013,Ornithological Notes,10.2173/bow-on.100006,0,W3015336192,,
journal article,las-tercias-pertenecientes-al-marquesado-de-priego,Las tercias pertenecientes al marquesado de Priego,2013,Ambitos: revista de estudios de ciencias sociales y humanidades,,0,W2153721144,,
journal article,x-reunión-anual-de-ecoflor,X Reunión anual de Ecoflor,2013,Ecosistemas,10.7818/ecos.2013.22-2.20,0,W3189191290,,
journal article,symposium-6-mutualistic-networks,Symposium 6: Mutualistic Networks,2010,Bulletin of the Ecological Society of America,10.1890/0012-9623-91.3.367,4,W1983437890,mutualistic networks,0.769
journal article,ecología-y-genes,Ecología y genes,2009,Revista Ecosistemas,,0,W3134572316,,
journal article,sesión-necrológica-en-honor-del-ilmo-sr-d-diego-jordano-barea-intervención-de-d-,Sesión necrológica en honor del Ilmo. Sr. D. Diego Jordano Barea: Intervención de D. Pedro Jordano Barbudo,2002,"Boletín de la Real Academia de Córdoba de Ciencias, Bellas Letras y Nobles Artes",,0,W3165254375,,
